"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","apply_link","cta_button.link","cta_button.text","location_standardized"
13780,1350,"The University of Agriculture, Peshawar",27.9,13780,24.5,1113,10.8,1682,47,1185,24.3,1508,49,905,"master_account",0,"/world-university-rankings/university-agriculture-peshawar",696481,"Pakistan",10363,33.4,"1%","10 : 90","The University of Agriculture, Peshawar","Biological Sciences,Veterinary Science,Business & Management,Communication & Media Studies,Accounting & Finance,Agriculture & Forestry,Sociology,Economics & Econometrics,Computer Science,Chemistry",FALSE,FALSE,FALSE,NA,NA,NA,"pakistan"
13790,1350,"The University of Electro-Communications",27.9,13790,27,954,23.1,732,28.6,1628,68.1,529,38.7,1275,"master_account",0,"/world-university-rankings/university-electro-communications",609414,"Japan",4654,14.7,"5%","13 : 87","The University of Electro-Communications","Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Mechanical & Aerospace Engineering,Computer Science,Communication & Media Studies,Biological Sciences,Business & Management,Sport Science,General Engineering,Chemistry,Physics & Astronomy,Electrical & Electronic Engineering",FALSE,FALSE,FALSE,NA,NA,NA,"japan"
13800,1350,"The University of Notre Dame Australia",27.9,13800,17.4,1739,17.9,997,49.8,1105,20.4,1726,59.4,642,"master_account",0,"/world-university-rankings/university-notre-dame-australia-0",705371,"Australia",8121,20.5,"2%","72 : 28","The University of Notre Dame Australia","Archaeology,Business & Management,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design,Sport Science,Economics & Econometrics,History, Philosophy & Theology,Law,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Psychology,Computer Science,Sociology,Medicine & Dentistry,Education,Biological Sciences,Architecture,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,NA,NA,NA,"australia"
13810,1350,"The University of the West Indies",27.9,13810,22.4,1291,10.9,1671,35.8,1441,26.3,1436,50.8,841,"master_account",11,"/world-university-rankings/university-west-indies",639029,"Jamaica",37637,11.6,"1%","68 : 32","The University of the West Indies","Education,Geography,Sport Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Communication & Media Studies,Computer Science,Medicine & Dentistry,Economics & Econometrics,Civil Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemical Engineering,Other Health,Veterinary Science,Chemistry,Business & Management,General Engineering,Law,Agriculture & Forestry,Psychology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Physics & Astronomy,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sociology",FALSE,FALSE,FALSE,NA,NA,NA,"jamaica"
13820,1350,"TOBB University of Economics and Technology",27.9,13820,18.6,1635,13.1,1391,42.4,1299,51.7,843,41.2,1172,"master_account",0,"/world-university-rankings/tobb-university-economics-and-technology",131687,"Turkey",5196,13.3,"1%","47 : 53","TOBB University of Economics and Technology","Languages, Literature & Linguistics,Physics & Astronomy,Mechanical & Aerospace Engineering,Computer Science,Electrical & Electronic Engineering,General Engineering,History, Philosophy & Theology,Psychology,Architecture,Chemistry,Communication & Media Studies,Medicine & Dentistry,Law,Art, Performing Arts & Design,Accounting & Finance,Mathematics & Statistics,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,NA,NA,NA,"turkey"
13830,1350,"Tokai University",27.9,13830,18.1,1690,12.8,1426,45.9,1209,45.6,973,31.5,1600,"master_account",0,"/world-university-rankings/tokai-university",131413,"Japan",28585,16.3,"5%","28 : 72","Tokai University","Computer Science,Mathematics & Statistics,Archaeology,Biological Sciences,Accounting & Finance,History, Philosophy & Theology,Chemical Engineering,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Politics & International Studies (incl Development Studies),General Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Education,Architecture,Psychology,Other Health,Chemistry,Geography,Agriculture & Forestry,Civil Engineering,Sociology,Business & Management",FALSE,FALSE,FALSE,NA,NA,NA,"japan"
13840,1350,"Tokushima University",27.9,13840,29.6,771,21.4,806,25.6,1708,88.7,203,25.5,1850,"master_account",0,"/world-university-rankings/university-tokushima",131742,"Japan",7467,9.6,"2%","36 : 64","Tokushima University","History, Philosophy & Theology,Civil Engineering,Chemical Engineering,Medicine & Dentistry,Biological Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,General Engineering,Other Health,Electrical & Electronic Engineering,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,NA,NA,NA,"japan"
13850,1350,"Tokyo Metropolitan University",27.9,13850,30,749,16.1,1124,26.5,1682,50.8,860,35.6,1417,"master_account",6,"/world-university-rankings/tokyo-metropolitan-university",712,"Japan",8823,10.4,"6%","39 : 61","Tokyo Metropolitan University","Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Architecture,Business & Management,Electrical & Electronic Engineering,Sport Science,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Archaeology,Other Health,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Law,Chemistry,Education,Art, Performing Arts & Design,Biological Sciences,Psychology,Mechanical & Aerospace Engineering,Sociology,Geography,Agriculture & Forestry,Physics & Astronomy,Computer Science,Chemical Engineering",FALSE,FALSE,FALSE,NA,NA,NA,"japan"
13860,1350,"Tokyo University of Marine Science and Technology",27.9,13860,31.2,682,17.3,1032,21.9,1799,52.2,835,45.4,1042,"master_account",0,"/world-university-rankings/tokyo-university-marine-science-and-technology",131398,"Japan",2580,10.5,"9%","33 : 67","Tokyo University of Marine Science and Technology","General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Agriculture & Forestry,Civil Engineering,Mechanical & Aerospace Engineering",FALSE,FALSE,FALSE,NA,NA,NA,"japan"
13870,1350,"Tokyo University of Science",27.9,13870,22.9,1247,24.8,661,25.5,1712,73.5,415,30.5,1641,"master_account",0,"/world-university-rankings/tokyo-university-science",131726,"Japan",17783,23.7,"4%","25 : 75","Tokyo University of Science tus rikadai tokyo","Other Health,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Accounting & Finance,Architecture,Chemistry,Computer Science,Economics & Econometrics,Physics & Astronomy,Civil Engineering,General Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",FALSE,FALSE,FALSE,NA,NA,NA,"japan"
